Serial Number,Course-Code-1,Course-Code-2,Course-Code-3,Course-Code-4,Course-Code-5,Course-Code-6
1,815,733,241,683,72,268
2,103,338,779,94,208,694
3,139,67,766,664,550,50
4,645,162,115,935,16,583
5,283,204,181.56,344,958,736
6,493,318,260,652,738,448
7,600,248,975,abc,450,651
8,61,975,283,356,506,849
9,211,770,289,479,550,479
10,571,456,617,403,371,400
11,368,950,52,560,917,782
12,502,722,510,113,905,519
13,472,53,569,149,166,746
14,836,546,444,547,895,779
15,234,579,44,188,283,536
16,39,97,237,827,525,484
17,343,904,226,599,50,655
18,263,94,221,7,509,93
19,12,870,494,899,90,318
20,264,785,557,913,292,922
21,997,994,213,855,916,926
22,13,879,943,805,948,190
23,888,570,366,137,101,710
24,829,166,982,329,297,661
25,4,330,48,488,585,230
26,378,180,916,202,949,555
27,422,908,358,6,171,420
28,508,716,733,733,709,6
29,917,709,331,443,725,223
30,43,317,937,127,474,128
31,991,832,395,485,791,7
32,717,70,678,292,177,799
33,857,379,641,201,778,389
34,702,125,105,408,481,499
35,465,780,797,607,141,479
36,470,281,974,904,122,99
37,383,896,100,356,18,203
38,152,567,685,625,123,867
39,264,888,989,208,473,131
40,164,703,655,427,162,128
41,761,631,147,163,313,886
42,732,532,689,474,945,161
43,364,517,322,916,583,511
44,193,641,186,931,411,874
45,125,882,995,263,7,886
46,503,735,383,511,470,233
47,674,260,429,123,817,297
48,362,115,735,128,983,77
49,640,796,135,96,422,691
50,736,768,915,385,452,703
51,282,844,871,736,29,253
52,375,7,730,972,516,804
53,597,74,331,549,142,379
54,454,824,388,131,282,942
55,226,712,396,449,172,525
56,210,359,825,568,196,143
57,942,204,283,88,912,702
58,185,128,406,258,392,65
59,849,935,850,478,552,555
60,821,390,477,3,948,520
61,923,213,590,428,917,110
62,58,471,321,410,320,840
63,275,163,479,634,220,709
64,335,544,26,314,157,227
65,598,489,894,968,327,449
66,119,829,41,713,850,900
67,912,172,605,172,862,34
68,438,569,859,847,340,397
69,390,108,779,594,290,593
70,740,549,26,1,107,918
71,694,411,720,537,137,784
72,333,404,890,637,936,984
73,836,860,9,707,145,270
74,235,796,78,853,48,276
75,518,475,666,183,690,315
76,95,987,976,678,458,412
77,466,275,932,63,301,225
78,505,161,542,492,425,645
79,136,994,403,835,645,275
80,747,131,885,859,649,106
81,305,842,492,2,180,930
82,660,508,677,141,609,640
83,205,463,49,787,652,576
84,675,232,156,720,950,910
85,131,185,848,362,585,697
86,893,844,785,90,251,572
87,700,213,1000,149,370,959
88,123,166,975,367,861,201
89,419,431,722,1,89,333
90,308,884,340,95,70,913
91,704,874,39,463,399,692
92,632,81,267,5,383,568
93,564,38,160,647,151,994
94,391,458,237,96,654,20
95,23,344,7,491,773,566
96,416,540,880,282,890,709
97,732,85,751,100,344,84
98,710,571,288,196,788,684
99,473,85,698,109,516,729
100,104,970,315,998,674,37
