Sr.No,ShelfLife,Cost,Capacity
1,19,173,8
2,55,310,2
3,100,416,5
4,45,312,1
5,8,296,7
6,93,404,8
7,53,19,6
8,55,204,5
9,32,127,6
10,51,279,2
11,44,89,1
12,82,467,7
13,70,102,7
14,18,275,10
15,83,341,10
16,22,359,2
17,37,370,2
18,96,266,1
19,56,142,10
20,59,285,8
21,3,273,8
22,28,180,1
23,74,469,8
24,35,10,9
25,61,322,4
26,93,73,1
27,54,383,1
28,63,477,3
29,79,293,5
30,97,130,5
31,7,116,9
32,76,430,10
33,49,184,2
34,94,494,2
35,85,213,6
36,31,174,9
37,58,314,1
38,61,129,9
39,24,53,9
40,20,321,9
41,37,165,5
42,4,376,9
43,92,216,4
44,20,399,2
45,60,117,6
46,24,260,4
47,50,454,6
48,49,413,3
49,51,379,6
50,96,343,2
51,36,139,2
52,98,466,9
53,100,302,7
54,66,29,3
55,79,291,1
56,34,294,8
57,36,10,6
58,6,128,7
59,39,44,9
60,42,207,5
61,58,494,1
62,12,254,10
63,3,68,7
64,18,334,5
65,40,170,3
66,21,188,9
67,15,215,1
68,97,21,1
69,99,499,1
70,26,285,3
71,8,190,6
72,100,251,10
73,94,225,3
74,87,260,8
75,42,308,10
76,44,135,2
77,14,491,9
78,78,226,3
79,2,315,5
80,37,294,10
81,69,194,8
82,38,48,2
83,41,232,6
84,62,193,5
85,60,436,10
86,14,187,9
87,89,416,5
88,84,437,2
89,2,303,5
90,70,349,4
91,17,160,7
92,89,393,6
93,28,135,2
94,66,310,5
95,35,317,7
96,5,345,7
97,65,443,5
98,40,243,9
99,76,389,4
100,56,384,3
