Sr.No,ShelfLife,Cost,Capacity
1,5,19,6
2,83,251,5
3,34,323,2
4,10,453,10
5,89,241,1
6,2,286,8
7,11,293,2
8,50,212,-7
9,31,256,9
10,56,299,9
11,79,273,8
12,73,452,10
13,87,223,9
14,83,209,2
15,9,442,6
16,99,88,4
17,21,410,4
18,73,453,5
19,28,352,3
20,62,353,1
21,7,182,8
22,80,476,5
23,16,78,3
24,97,425,10
25,4,437,7
26,4,458,7
27,40,96,1
28,17,110,9
29,52,17,2
30,93,342,5
31,52,209,5
32,36,96,8
33,38,52,8
34,50,394,7
35,63,118,7
36,63,444,6
37,62,417,6
38,99,492,9
39,7,161,6
40,27,26,2
41,92,142,2
42,86,157,5
43,14,286,4
44,71,241,2
45,86,323,3
46,5,424,7
47,55,375,8
48,2,237,6
49,62,148,5
50,91,445,1
51,21,408,8
52,79,220,3
53,21,400,6
54,10,37,3
55,87,60,7
56,58,500,7
57,39,451,9
58,5,270,5
59,65,270,8
60,13,359,10
61,85,361,10
62,90,17,8
63,85,329,1
64,53,147,5
65,82,47,3
66,45,120,1
67,32,489,4
68,36,377,8
69,81,229,3
70,99,346,10
71,60,232,2
72,11,145,9
73,63,265,10
74,21,369,5
75,52,418,7
76,55,338,2
77,26,459,9
78,68,472,9
79,34,443,4
80,52,460,4
81,82,58,6
82,99,301,10
83,93,391,10
84,52,333,10
85,29,87,6
86,38,114,1
87,42,178,9
88,21,226,2
89,42,387,5
90,13,128,9
91,64,199,4
92,17,264,3
93,9,379,7
94,41,275,6
95,1,158,8
96,2,173,3
97,60,149,5
98,48,356,10
99,29,497,4
100,97,267,4
