Sr.No;Basic Salary;House Rent Allowance;Other Allowances;Income Tax;Provident Fund;Professional Tax
1;53035;8510;3328;15910;1768;131
2;53432;6201;2789;16029;4989;119
3;56374;6492;2411;16912;2027;142
4;38784;9074;3707;11635;4997;194
5;32977;9718;2657;9893;3378;192
6;36330;6362;2092;10899;1918;421
7;66969;9284;3421;20090;1756;391
8;34833;6529;3268;10449;4280;279
9;33786;5795;2469;10135;4376;391
10;65950;7520;2469;19785;3573;130
11;50071;8757;2811;15021;4772;368
12;59538;6637;3149;17861;2949;363
13;38653;9454;2572;11595;4106;407
14;49985;7623;2191;14995;2772;362
15;44077;8685;2026;13223;1446;249
16;68690;6550;2356;20607;3641;476
17;49850;8476;2807;14955;3465;417
18;69274;8913;2167;20782;2522;395
19;62417;6530;3158;18725;3180;151
20;69384;5968;2416;20815;4831;223
21;64525;7944;3695;19357;2252;413
22;54522;5009;3678;16356;1925;224
23;55932;5921;3312;16779;3803;291
24;56851;6805;3281;17055;4555;182
25;53240;9130;2101;15972;3509;450
26;52559;6221;2277;15767;3140;121
27;50008;8170;2746;15002;1233;496
28;39154;6100;2804;11746;2417;315
29;48477;9153;2778;14543;2589;454
30;44992;5190;2448;13497;4621;150
31;33280;9516;2679;9984;4079;473
32;54833;9102;2700;16449;4322;228
33;63455;6143;2986;19036;4276;102
34;54359;8768;2827;16307;4514;377
35;41981;6554;2712;12594;3424;464
36;59652;7360;2149;17895;4894;447
37;55162;9146;2411;16548;1447;215
38;48306;5059;3931;14491;4484;196
39;30511;7991;2348;9153;3582;208
40;63520;9013;3715;19056;4059;159
41;53011;5879;2198;15903;2006;456
42;50584;5662;3045;15175;3022;434
43;63652;9871;3365;19095;1346;257
44;31365;9792;2255;9409;3350;307
45;30150;6131;2794;9045;1171;159
46;32828;9016;3607;9848;3782;359
47;69400;5045;3538;20820;1760;332
48;48549;6546;3050;14564;3560;237
49;36495;6813;2468;10948;1656;493
50;39663;8856;2331;11898;2725;152
51;56825;8678;3427;17047;3589;110
52;45758;5118;2959;13727;2865;300
53;68219;8161;2450;20465;2012;329
54;52500;9598;2335;15750;2709;117
55;54045;9622;2894;16213;4057;443
56;60079;6396;2603;18023;4247;358
57;66702;5480;2073;20010;1677;226
58;36150;9277;2240;10845;3246;296
59;48085;7130;2875;14425;2762;441
60;65083;9147;3463;19524;3644;464
61;54036;5403;2408;16210;2104;363
62;46497;6838;2776;13949;4957;411
63;67228;5677;3052;20168;3795;422
64;34246;5735;3380;10273;3133;291
65;37161;5986;3580;11148;4424;429
66;44552;8697;2180;13365;4166;252
67;50979;9761;2329;15293;3219;430
68;64579;5712;3094;19373;3533;387
69;49616;6814;3868;14884;3256;350
70;68465;7979;3555;20539;3448;141
71;50244;6735;3660;15073;4487;460
72;34234;9838;2325;10270;3027;100
73;54910;8337;3592;16473;2713;432
74;66583;6238;2134;19974;1958;133
75;33245;9756;3338;9973;1984;144
76;34650;6605;3505;10395;4351;174
77;61181;9061;3291;18354;2821;474
78;38225;7792;3969;11467;1245;421
79;36225;9709;3821;10867;4041;200
80;57206;9102;2190;17161;4815;318
81;67516;7721;2224;20254;4694;150
82;30630;7269;3387;9189;4096;351
83;46545;5799;3501;13963;1352;378
84;63802;5921;3793;19140;1875;191
85;41567;5210;3090;12470;2531;460
86;69132;7748;3759;20739;1959;385
87;63240;9883;3661;18972;4150;426
88;63284;9330;3935;18985;2224;496
89;39168;7043;2285;11750;3704;124
90;36710;5258;2506;11013;1975;119
91;66947;6653;3799;20084;2465;382
92;40420;6132;3669;12126;2048;419
93;51770;5245;2960;15531;3286;225
94;30649;7102;3162;9194;4531;388
95;50412;6641;3432;15123;1451;117
96;63847;6372;2525;19154;4355;272
97;44490;8840;2412;13347;3006;142
98;54258;7145;3603;16277;1220;393
99;69134;5452;3082;20740;4998;183
100;37011;7243;2067;11103;2691;316
101;48235;6296;3387;14470;3258;154
102;61256;6315;3354;18376;4101;391
103;48471;8751;3192;14541;2818;267
104;66680;7259;3031;20004;1207;323
105;34350;5265;2669;10305;3863;278
106;55656;7465;2520;16696;4305;373
107;44022;5345;3139;13206;2143;358
108;59077;8803;3467;17723;3445;246
109;47666;8470;2182;14299;2680;291
110;55201;7041;3255;16560;1099;182
111;44742;6709;2396;13422;1238;416
112;48166;8643;2980;14449;1711;358
113;66658;9461;2044;19997;4417;118
114;34224;7269;3580;10267;1909;475
115;59579;9058;2089;17873;2353;262
116;58809;9386;2132;17642;1283;288
117;34446;9992;3965;10333;4698;375
118;43800;8402;3674;13140;4818;248
119;33819;8243;3192;10145;2560;354
120;54559;8832;3675;16367;1044;113
121;46562;6528;3568;13968;1715;294
122;44551;9614;2358;13365;1211;392
123;36559;5419;2794;10967;2120;158
124;51051;6470;3439;15315;4251;342
125;39457;5614;2236;11837;3855;426
126;42665;8196;2989;12799;4328;414
127;48015;8795;2741;14404;3636;432
128;32320;6187;3227;9696;2531;394
129;56525;7429;3776;16957;4980;365
130;35619;6648;2105;10685;2935;383
131;45493;9686;2109;13647;4154;445
132;47838;5686;3040;14351;4012;484
133;45130;9587;3506;13539;2525;240
134;50653;8090;3288;15195;2515;196
135;47726;9988;2514;14317;3386;173
136;56158;8994;3043;16847;4230;424
137;56857;9457;2390;17057;1769;131
138;58097;7045;2013;17429;3463;283
139;37418;5876;2708;11225;3319;405
140;61264;6313;2520;18379;2005;149
141;37382;5221;2473;11214;2612;318
142;67565;5715;2487;20269;4154;242
143;43535;8910;3482;13060;1405;415
144;49520;7625;2498;14856;2396;327
145;42431;8052;3597;12729;1699;118
146;64302;8792;2446;19290;4323;332
147;69681;8853;2834;20904;1997;178
148;46733;5643;2926;14019;4545;358
149;38040;9158;2011;11412;2572;237
150;49591;6143;2929;14877;2656;384
151;68256;7046;2980;20476;1621;313
152;49608;6776;3601;14882;1344;106
153;33791;5822;2463;10137;2788;119
154;51693;6456;3391;15507;2602;117
155;64962;6583;3703;19488;3251;312
156;35239;5977;2750;10571;2899;312
157;69906;5152;3798;20971;1473;463
158;36461;9957;2405;10938;4161;359
159;42445;7679;2798;12733;4533;480
160;35102;6860;2430;10530;3265;172
161;38274;9969;3249;11482;3240;147
162;53812;8157;3111;16143;1803;416
163;69656;6477;2459;20896;1249;320
164;68573;7902;2939;20571;1244;272
165;32169;9102;2082;9650;3957;271
166;44005;9523;3167;13201;1363;105
167;31170;7977;3507;9351;2421;331
168;38569;5335;3594;11570;2113;194
169;50977;8413;2869;15293;2852;285
170;60508;8981;2568;18152;4419;130
171;31700;9992;3888;9510;2819;269
172;43383;7970;3034;13014;3526;473
