Sr.No;Basic Salary;House Rent Allowance;Other Allowances;Income Tax;Provident Fund;Professional Tax
1;40068;7039;3475;12020;3735;299
2;67654;7382;2775;20296;2837;431
3;63977;8690;2120;19193;2924;111
4;60389;9122;2737;18116;2374;383
5;34748;6102;2471;10424;4029;432
6;38588;7474;2105;11576;1695;341
7;54947;7418;2922;16484;1569;267
8;33554;6785;2574;10066;4641;116
9;55722;7806;3152;16716;1918;389
10;45134;7048;3174;13540;4998;433
11;38667;8716;3233;11600;1588;359
12;46648;9487;3655;13994;1497;128
13;56950;9018;2499;17085;1589;225
14;60926;5662;3853;18277;2925;351
15;32748;8287;2569;9824;2783;222
16;41661;9923;3719;12498;2094;134
17;47294;6222;2266;14188;3190;412
18;49953;9496;3383;14985;1551;176
19;49127;6524;3481;14738;2367;189
20;30401;7151;2408;9120;3229;306
21;47362;9025;2038;14208;3961;403
22;39862;8199;2706;11958;4767;120
23;37855;7823;3791;11356;3074;429
24;36515;7626;2948;10954;4570;373
25;63395;7440;2633;19018;2911;433
26;66255;6177;2947;19876;3006;429
27;57786;6138;3375;17335;4159;306
28;69926;6498;3203;20977;2523;449
29;46831;5879;3505;14049;2389;462
30;63573;7723;3913;19071;2500;420
31;52609;6733;2569;15782;3834;468
32;60366;5235;2950;18109;3061;461
33;32258;8423;2732;9677;3106;302
34;41348;9450;3750;12404;1587;252
35;32364;8939;2783;9709;2279;429
36;38892;9286;3823;11667;1422;299
37;45913;6046;2687;13773;4983;344
38;50596;7523;2623;15178;3528;352
39;30641;8400;3256;9192;1323;310
40;31599;8002;3975;9479;3004;363
41;38680;6844;3018;11604;1439;326
42;34317;8366;2459;10295;2217;101
43;58770;6929;3907;17631;4022;301
44;39227;7539;2340;11768;1592;480
45;45536;9698;3399;13660;1591;123
46;57386;5747;3936;17215;3506;152
47;61481;9461;2129;18444;1070;360
48;50559;7917;3640;15167;3350;144
49;62414;6707;2941;18724;4172;373
50;55766;7479;2015;16729;4946;235
51;51485;5911;3497;15445;3433;275
52;56892;5739;3328;17067;2379;498
53;59596;7835;3497;17878;4049;450
54;34568;8565;2506;10370;1283;316
55;63599;5780;3354;19079;3073;142
56;46936;6333;2134;14080;3436;476
57;41307;6636;3575;12392;1062;136
58;48277;5400;3640;14483;2396;286
59;42076;8235;3194;12622;4458;129
60;34529;9434;3852;10358;2875;442
61;40072;9274;2015;12021;3383;403
62;31971;9118;3754;9591;2195;187
63;34942;8354;3360;10482;3836;297
64;42669;6658;2199;12800;1801;425
65;40297;5008;3705;12089;2919;380
66;35065;8100;2643;10519;1163;146
67;66501;8361;3247;19950;2400;148
68;60466;9808;3133;18139;2445;197
69;60146;5932;3730;18043;2816;373
70;46364;7825;3250;13909;2833;149
71;69019;8448;3050;20705;2493;249
72;56325;7608;3419;16897;1270;407
73;50662;7671;2587;15198;1677;153
74;61721;5474;3997;18516;4504;173
75;52870;6351;3787;15861;1673;386
76;34941;6558;3165;10482;1068;377
77;62717;9475;2374;18815;3204;430
78;54352;7311;3485;16305;2448;125
79;49891;6272;2742;14967;1651;407
80;52528;7698;2862;15758;3180;275
81;48477;9301;2475;14543;2671;272
82;64397;7741;2152;19319;4143;286
83;33063;9439;3052;9918;4059;294
84;54545;7279;3234;16363;4382;240
85;56690;5850;3217;17007;3217;370
86;47280;5933;2915;14184;2346;265
